ID,Value,Squared,Cubed,Square Root,Natural Log,Sine,Cosine,Is Even
1,27,1,1,1.000,0.000,0.841,0.540,false
2,87,4,8,1.414,0.693,0.909,-0.416,true
3,61,9,27,1.732,1.099,0.141,-0.990,false
4,21,16,64,2.000,1.386,-0.757,-0.654,true
5,33,25,125,2.236,1.609,-0.959,0.284,false
6,79,36,216,2.449,1.792,-0.279,0.960,true
7,9,49,343,2.646,1.946,0.657,0.754,false
8,24,64,512,2.828,2.079,0.989,-0.146,true
9,80,81,729,3.000,2.197,0.412,-0.911,false
10,99,100,1000,3.162,2.303,-0.544,-0.839,true
11,23,121,1331,3.317,2.398,-1.000,0.004,false
12,21,144,1728,3.464,2.485,-0.537,0.844,true
13,67,169,2197,3.606,2.565,0.420,0.907,false
14,86,196,2744,3.742,2.639,0.991,0.137,true
15,69,225,3375,3.873,2.708,0.650,-0.760,false
16,49,256,4096,4.000,2.773,-0.288,-0.958,true
17,72,289,4913,4.123,2.833,-0.961,-0.275,false
18,7,324,5832,4.243,2.890,-0.751,0.660,true
19,37,361,6859,4.359,2.944,0.150,0.989,false
20,96,400,8000,4.472,2.996,0.913,0.408,true
21,87,441,9261,4.583,3.045,0.837,-0.548,false
22,14,484,10648,4.690,3.091,-0.009,-1.000,true
23,86,529,12167,4.796,3.135,-0.846,-0.533,false
24,35,576,13824,4.899,3.178,-0.906,0.424,true
25,97,625,15625,5.000,3.219,-0.132,0.991,false
26,29,676,17576,5.099,3.258,0.763,0.647,true
27,90,729,19683,5.196,3.296,0.956,-0.292,false
28,24,784,21952,5.292,3.332,0.271,-0.963,true
29,43,841,24389,5.385,3.367,-0.664,-0.748,false
30,99,900,27000,5.477,3.401,-0.988,0.154,true
31,1,961,29791,5.568,3.434,-0.404,0.915,false
32,1,1024,32768,5.657,3.466,0.551,0.834,true
33,26,1089,35937,5.745,3.497,1.000,-0.013,false
34,6,1156,39304,5.831,3.526,0.529,-0.849,true
35,25,1225,42875,5.916,3.555,-0.428,-0.904,false
36,93,1296,46656,6.000,3.584,-0.992,-0.128,true
37,31,1369,50653,6.083,3.611,-0.644,0.765,false
38,45,1444,54872,6.164,3.638,0.296,0.955,true
39,11,1521,59319,6.245,3.664,0.964,0.267,false
40,24,1600,64000,6.325,3.689,0.745,-0.667,true
41,5,1681,68921,6.403,3.714,-0.159,-0.987,false
42,63,1764,74088,6.481,3.738,-0.917,-0.400,true
43,28,1849,79507,6.557,3.761,-0.832,0.555,false
44,29,1936,85184,6.633,3.784,0.018,1.000,true
45,28,2025,91125,6.708,3.807,0.851,0.525,false
46,92,2116,97336,6.782,3.829,0.902,-0.432,true
47,11,2209,103823,6.856,3.850,0.124,-0.992,false
48,98,2304,110592,6.928,3.871,-0.768,-0.640,true
49,56,2401,117649,7.000,3.892,-0.954,0.301,false
50,100,2500,125000,7.071,3.912,-0.262,0.965,true
51,93,2601,132651,7.141,3.932,0.670,0.742,false
52,33,2704,140608,7.211,3.951,0.987,-0.163,true
53,19,2809,148877,7.280,3.970,0.396,-0.918,false
54,58,2916,157464,7.348,3.989,-0.559,-0.829,true
55,63,3025,166375,7.416,4.007,-1.000,0.022,false
56,89,3136,175616,7.483,4.025,-0.522,0.853,true
57,34,3249,185193,7.550,4.043,0.436,0.900,false
58,49,3364,195112,7.616,4.060,0.993,0.119,true
59,58,3481,205379,7.681,4.078,0.637,-0.771,false
60,100,3600,216000,7.746,4.094,-0.305,-0.952,true
61,5,3721,226981,7.810,4.111,-0.966,-0.258,false
62,19,3844,238328,7.874,4.127,-0.739,0.674,true
63,64,3969,250047,7.937,4.143,0.167,0.986,false
64,64,4096,262144,8.000,4.159,0.920,0.392,true
65,17,4225,274625,8.062,4.174,0.827,-0.562,false
66,100,4356,287496,8.124,4.190,-0.027,-1.000,true
67,29,4489,300763,8.185,4.205,-0.856,-0.518,false
68,48,4624,314432,8.246,4.220,-0.898,0.440,true
69,20,4761,328509,8.307,4.234,-0.115,0.993,false
70,31,4900,343000,8.367,4.248,0.774,0.633,true
71,76,5041,357911,8.426,4.263,0.951,-0.309,false
72,63,5184,373248,8.485,4.277,0.254,-0.967,true
73,61,5329,389017,8.544,4.290,-0.677,-0.736,false
74,16,5476,405224,8.602,4.304,-0.985,0.172,true
