Temperature (°C),Humidity (%),Ice Cream Sales,Beach Visitors,Energy Consumption (kWh),Air Quality Index,Outdoor Activities,Water Consumption (L),Sunscreen Sales,Restaurant Visitors,Mood Index,Productivity Score
37.5,47.9,342,991,853,32,266,1143,296,427,10,49
38.7,50.8,390,1042,782,1,277,1364,311,440,10,36
22.5,48.4,185,575,643,41,176,960,152,284,10,48
0.6,31.7,0,0,188,81,0,354,34,0,1,73
12.5,70.1,133,388,443,28,78,1101,129,105,7,46
24.6,61.6,264,711,617,37,162,1199,206,269,10,59
37.8,51.4,336,1006,846,34,280,1297,291,387,10,42
16.8,44.7,185,380,463,39,140,586,155,216,10,60
15.7,49.3,170,397,487,32,132,1005,147,149,10,49
15.0,52.9,173,310,452,58,115,846,145,204,10,58
36.6,35.7,350,880,773,29,313,1272,283,452,10,61
11.4,33.0,76,335,319,85,85,713,73,152,8,55
16.8,50.1,163,393,443,49,126,1020,123,232,10,63
12.0,38.7,146,306,376,57,104,731,71,134,8,66
0.6,78.3,43,0,398,44,16,886,0,0,1,58
16.7,88.8,184,435,739,15,90,1105,133,161,7,53
8.2,61.0,50,212,455,52,41,822,67,111,7,58
35.6,72.3,384,845,909,7,229,1623,305,310,10,34
15.7,45.7,183,445,472,57,108,577,101,209,10,50
2.2,73.3,65,26,488,64,13,792,34,0,1,58
9.2,48.8,136,159,404,43,62,791,78,89,8,55
31.2,55.4,342,729,686,44,206,1314,246,312,10,57
20.7,72.4,257,603,694,41,134,960,163,200,10,57
6.9,84.4,34,118,536,45,27,1095,41,20,2,49
12.8,73.7,149,414,515,34,74,825,106,149,7,46
5.6,56.1,30,48,289,58,49,701,33,106,5,65
28.3,56.8,255,721,798,42,187,1142,243,282,10,56
36.8,74.9,413,862,895,15,216,1438,306,333,10,47
3.8,64.2,18,176,367,51,42,870,7,82,5,51
32.4,46.3,327,748,808,42,266,1181,287,334,10,51
2.0,40.4,0,147,285,65,9,264,16,68,1,66
7.9,55.6,34,245,412,74,58,743,34,107,5,65
1.4,76.8,0,20,467,58,12,887,22,32,2,54
9.7,67.6,51,175,535,63,81,967,76,52,8,51
16.5,69.4,117,391,580,48,124,1121,131,152,10,60
13.7,68.1,184,264,461,65,106,859,96,163,9,47
14.3,73.8,131,338,550,34,73,1062,89,169,9,42
2.8,63.3,74,157,345,57,15,521,35,76,1,51
20.5,39.0,185,613,487,31,175,786,145,275,10,56
29.8,77.2,306,733,749,20,174,1217,226,305,10,35
30.5,51.8,271,826,785,42,225,1197,268,328,10,55
