Temperature (°C),Humidity (%),Ice Cream Sales,Beach Visitors,Energy Consumption (kWh),Air Quality Index,Outdoor Activities,Water Consumption (L),Sunscreen Sales,Restaurant Visitors,Mood Index,Productivity Score
14.1,38.1,189,280,388,75,122,643,86,130,10,62
33.5,56.6,308,887,771,26,259,1118,272,347,10,51
3.2,75.9,36,129,417,42,5,744,9,34,4,65
10.5,60.6,93,284,390,39,57,881,90,122,5,66
28.4,46.0,320,655,626,17,207,1073,254,369,10,44
16.7,71.2,134,324,541,35,103,979,118,135,10,51
34.3,35.9,335,823,717,47,269,965,246,444,10,51
15.6,60.4,194,354,592,63,95,1016,148,149,10,44
14.6,76.6,152,343,663,52,88,1099,115,142,10,48
1.1,82.4,60,11,395,71,0,648,0,8,2,45
35.8,42.0,406,861,740,30,289,959,274,424,10,43
9.2,89.5,123,174,639,58,37,1239,87,118,3,52
7.0,46.5,38,104,247,86,56,787,26,111,5,72
26.9,35.1,221,652,517,41,204,1028,245,307,10,58
2.6,78.3,64,29,472,47,33,800,0,9,3,57
20.8,37.2,191,442,545,56,169,732,168,291,10,53
21.4,45.7,230,579,536,52,160,905,181,234,10,60
31.9,41.5,302,773,689,33,237,1016,267,387,10,44
35.9,70.3,327,975,896,29,220,1413,301,363,10,35
18.6,69.5,216,392,659,38,127,924,149,230,10,53
27.1,61.4,240,614,754,22,186,1030,195,321,10,51
18.4,71.6,163,385,571,51,112,1230,121,219,10,44
27.5,45.5,291,765,718,45,200,828,192,285,10,59
3.9,69.2,29,70,442,59,29,616,31,13,4,54
16.9,88.5,185,474,724,39,87,1388,145,119,9,43
5.7,73.3,12,70,499,61,26,1000,69,91,3,49
4.8,57.3,63,144,299,76,20,734,60,24,3,69
34.6,62.0,301,808,753,30,259,1282,295,398,10,47
18.6,52.7,213,555,454,56,126,966,149,175,10,57
27.9,75.0,275,615,865,32,188,1123,230,252,10,45
15.1,39.7,181,461,386,62,118,593,132,187,10,66
3.1,61.1,0,162,343,54,12,688,50,64,2,66
34.3,66.7,295,822,923,34,210,1520,257,325,10,50
8.5,57.6,58,303,455,75,42,747,88,123,8,54
12.3,33.5,130,233,420,73,101,548,119,169,10,57
4.4,58.3,36,115,428,80,27,839,37,67,1,52
36.7,46.2,382,829,841,30,279,1317,302,403,10,40
31.9,73.5,286,790,792,27,201,1457,280,348,10,47
23.7,46.1,281,613,494,47,189,1051,191,321,10,59
6.9,68.0,70,241,371,71,37,1016,37,68,6,47
24.9,80.5,239,712,778,17,166,1435,218,202,10,42
17.6,34.7,157,475,369,51,133,501,124,231,10,57
11.3,36.9,150,205,425,46,76,793,82,123,8,61
34.3,51.7,348,837,767,35,264,1016,298,373,10,43
14.0,44.7,187,442,333,46,94,751,137,121,10,57
8.5,36.2,132,284,362,87,60,343,84,109,6,68
10.1,70.2,84,280,507,59,72,813,71,117,8,57
1.2,59.4,45,104,312,70,18,780,7,0,1,71
14.2,45.8,178,427,368,73,126,575,126,121,10,66
28.4,55.9,285,692,608,33,212,961,209,282,10,48
20.9,45.3,205,526,467,37,148,932,175,243,10,61
39.0,49.2,361,875,875,6,302,1359,319,408,10,41
10.9,54.3,117,339,346,54,95,900,62,159,8,61
31.5,55.9,318,729,784,30,222,1348,231,296,10,38
33.4,78.6,314,785,951,0,216,1260,272,301,10,49
28.5,56.8,269,769,642,33,210,1205,238,320,10,53
18.4,78.8,151,516,577,29,100,1002,135,120,10,43
12.1,83.8,104,388,686,23,68,922,74,95,8,52
10.7,76.7,154,264,605,37,78,1116,89,104,8,56
23.2,66.8,187,668,687,38,137,1314,211,232,10,44
23.8,57.4,231,577,633,47,178,869,188,245,10,42
21.5,68.8,233,551,568,20,142,1315,195,189,10,44
16.7,86.9,193,433,728,20,94,1396,112,150,9,53
32.0,44.0,296,879,710,38,246,894,238,402,10,46
0.2,36.9,0,4,252,84,20,264,5,47,1,70
14.0,71.2,130,300,514,30,73,858,127,105,8,56
17.5,37.0,213,438,430,37,143,535,117,188,10,69
8.5,72.5,36,141,557,65,65,847,40,88,5,49
35.1,37.9,356,788,654,35,292,1148,265,448,10,52
12.8,72.2,120,273,650,37,69,893,100,162,9,49
16.3,46.3,121,475,473,48,133,642,138,148,10,57
31.3,52.2,361,758,702,29,232,1339,250,385,10,55
19.2,59.8,177,575,490,52,133,1054,165,249,10,50
7.3,36.8,55,165,294,70,39,630,86,69,7,65
28.6,81.7,330,661,821,20,150,1229,253,221,10,48
3.6,61.9,54,151,322,76,9,730,18,21,1,50
25.3,85.5,264,544,779,1,132,1256,216,204,10,36
16.2,61.3,197,495,504,64,94,1077,110,132,10,55
32.9,57.2,284,728,808,33,221,1114,275,393,10,54
24.2,49.1,218,699,583,50,174,1052,168,309,10,58
0.8,86.4,41,76,522,61,16,856,0,0,1,50
15.2,61.7,167,438,479,36,113,1043,113,199,10,52
29.0,89.5,268,776,941,4,159,1506,222,261,10,37
38.9,52.2,355,876,841,16,305,1413,330,435,10,45
7.2,40.3,94,185,340,86,67,548,37,104,6,70
21.3,41.0,178,615,624,57,160,748,184,285,10,51
20.8,51.2,182,557,622,58,161,831,188,191,10,51
