ID,Latitude,Longitude,Elevation,Distance from Equator (km),Hemisphere,Terrain Type,Population Density,Climate Zone,Water Proximity (km),Urban/Rural,Natural Risk Zone
1,89.206996,-99.582853,2260,9901.98,Northern,Coastal,755,Continental,53,Rural,Low
2,45.957855,-134.735258,5294,5101.32,Northern,Plains,37,Tropical,408,Rural,High
3,65.326321,-104.968429,774,7251.22,Northern,Mountain,560,Continental,518,Rural,Medium
4,36.390877,72.939623,2469,4039.39,Northern,Mountain,313,Mediterranean,940,Urban,Extreme
5,4.346756,-70.490377,416,482.49,Northern,Desert,917,Mediterranean,86,Urban,High
6,76.117865,176.503838,6536,8449.08,Northern,Coastal,496,Continental,913,Urban,Medium
7,-75.591630,-46.159570,8129,8390.67,Southern,Forest,255,Arid,453,Urban,Medium
8,-87.663570,-102.469228,4686,9730.66,Southern,Forest,363,Continental,745,Rural,Extreme
9,53.699291,17.759129,1356,5960.62,Northern,Wetland,211,Polar,281,Rural,Medium
10,-19.676224,-136.747899,7755,2184.06,Southern,Wetland,284,Temperate,936,Rural,Low
11,-45.583731,136.410067,6683,5059.79,Southern,Wetland,227,Continental,556,Rural,Extreme
12,-85.199389,91.603326,8044,9457.13,Southern,Coastal,144,Mediterranean,470,Rural,Low
13,-62.344659,5.082191,1519,6920.26,Southern,Coastal,907,Temperate,469,Rural,High
14,-47.494385,-179.975814,4766,5271.88,Southern,Mountain,316,Temperate,378,Rural,Extreme
15,-53.972977,44.194619,4913,5991.00,Southern,Forest,346,Polar,895,Rural,Low
16,48.009175,63.452026,4337,5329.02,Northern,Desert,56,Polar,40,Rural,High
17,80.565711,-168.943057,226,8942.79,Northern,Coastal,707,Polar,124,Rural,Low
18,-8.270471,-95.817887,2876,918.02,Southern,Mountain,728,Polar,91,Urban,Low
19,-64.029615,-155.780167,1859,7107.29,Southern,Wetland,923,Mediterranean,513,Urban,Extreme
20,-15.846724,-152.628355,4448,1758.99,Southern,Forest,537,Continental,406,Rural,Extreme
21,-11.530090,101.083121,3772,1279.84,Southern,Coastal,789,Continental,343,Urban,Low
22,-27.948712,-179.242875,6885,3102.31,Southern,Desert,392,Temperate,577,Rural,Extreme
23,49.890595,-95.877294,5737,5537.86,Northern,Plains,393,Temperate,715,Urban,High
24,-13.899270,177.828880,7874,1542.82,Southern,Mountain,405,Continental,845,Rural,Extreme
25,47.791182,-111.055764,5235,5304.82,Northern,Wetland,283,Continental,366,Urban,Extreme
26,44.193124,29.278778,7129,4905.44,Northern,Forest,256,Continental,445,Urban,High
27,14.410905,-101.431222,255,1599.61,Northern,Desert,456,Arid,255,Urban,Medium
