ID,Latitude,Longitude,Elevation,Distance from Equator (km),Hemisphere,Terrain Type,Population Density,Climate Zone,Water Proximity (km),Urban/Rural,Natural Risk Zone
1,-40.920306,101.647545,8766,4542.15,Southern,Desert,90,Temperate,335,Rural,Extreme
2,9.874572,-49.492628,2228,1096.08,Northern,Coastal,763,Mediterranean,546,Rural,Extreme
3,-46.921027,-26.798241,5238,5208.23,Southern,Mountain,389,Polar,608,Rural,High
4,52.796549,26.274357,5694,5860.42,Northern,Wetland,17,Temperate,108,Urban,High
5,-69.558126,35.548155,2872,7720.95,Southern,Forest,511,Arid,474,Rural,High
6,79.028250,-154.560626,1075,8772.14,Northern,Mountain,438,Continental,561,Rural,High
7,-15.710773,-177.408352,7919,1743.90,Southern,Forest,877,Temperate,910,Rural,High
8,3.757648,112.628736,6685,417.10,Northern,Plains,247,Tropical,742,Rural,Low
9,6.914965,11.327126,2430,767.56,Northern,Wetland,498,Arid,575,Rural,Medium
10,34.844206,16.990846,384,3867.71,Northern,Wetland,864,Temperate,726,Rural,Extreme
11,14.922940,58.837491,7439,1656.45,Northern,Forest,19,Arid,897,Urban,Medium
12,61.725020,-7.617610,23,6851.48,Northern,Coastal,186,Continental,787,Urban,Extreme
13,-87.024527,-135.926766,6860,9659.72,Southern,Forest,309,Tropical,773,Urban,Extreme
14,72.926902,133.717685,7917,8094.89,Northern,Wetland,389,Continental,481,Urban,Extreme
15,-50.617446,164.630386,3131,5618.54,Southern,Wetland,977,Polar,735,Urban,High
16,82.121016,-76.594098,1871,9115.43,Northern,Desert,285,Continental,245,Rural,High
17,-43.841378,-84.685725,3002,4866.39,Southern,Plains,21,Temperate,1,Rural,Extreme
18,87.844344,153.808975,6899,9750.72,Northern,Wetland,855,Tropical,906,Rural,Medium
19,-40.121420,-151.997779,6920,4453.48,Southern,Desert,246,Polar,268,Rural,Extreme
20,41.354905,2.927889,7874,4590.39,Northern,Mountain,355,Arid,895,Urban,High
21,12.464997,-165.535940,2456,1383.61,Northern,Coastal,404,Temperate,275,Urban,Extreme
22,9.289535,77.104618,5559,1031.14,Northern,Plains,972,Temperate,434,Rural,Low
23,-33.697020,-29.117368,530,3740.37,Southern,Wetland,718,Arid,434,Urban,Medium
24,75.374907,10.474822,4000,8366.61,Northern,Coastal,880,Arid,44,Rural,High
25,55.763772,176.536542,7632,6189.78,Northern,Coastal,301,Mediterranean,244,Rural,Low
26,42.037899,-104.955150,4963,4666.21,Northern,Desert,200,Tropical,999,Rural,Medium
27,30.476561,66.469106,6910,3382.90,Northern,Coastal,965,Mediterranean,995,Rural,Low
28,-41.482716,-71.945980,921,4604.58,Southern,Wetland,575,Mediterranean,865,Rural,Low
29,1.201909,50.547454,8767,133.41,Northern,Mountain,905,Arid,365,Urban,Extreme
30,-5.589437,51.708744,7263,620.43,Southern,Plains,121,Mediterranean,850,Urban,High
31,-1.515423,-170.615877,7309,168.21,Southern,Plains,353,Arid,646,Rural,Medium
32,-13.417199,137.599507,3972,1489.31,Southern,Coastal,242,Mediterranean,936,Rural,High
33,7.607447,-3.835205,3839,844.43,Northern,Desert,687,Mediterranean,940,Urban,Medium
34,35.343964,-75.667835,1250,3923.18,Northern,Coastal,953,Arid,457,Urban,Extreme
35,-70.785919,56.344304,1386,7857.24,Southern,Mountain,732,Polar,23,Rural,Medium
36,12.546510,-22.134977,6353,1392.66,Northern,Forest,76,Temperate,455,Rural,Extreme
37,-84.804228,53.984389,8740,9413.27,Southern,Desert,644,Tropical,329,Urban,Extreme
38,-49.002735,-39.555603,287,5439.30,Southern,Coastal,536,Tropical,348,Urban,Low
39,85.652745,107.149487,2416,9507.45,Northern,Plains,315,Polar,192,Rural,High
40,-54.762839,-72.650537,3454,6078.68,Southern,Forest,751,Polar,273,Rural,High
41,35.171320,-28.214847,5628,3904.02,Northern,Mountain,776,Polar,814,Rural,High
42,30.683350,54.433206,537,3405.85,Northern,Wetland,663,Polar,854,Rural,Extreme
43,-6.566947,166.831444,4429,728.93,Southern,Coastal,251,Arid,847,Rural,High
44,-54.989712,-169.670461,2204,6103.86,Southern,Mountain,823,Mediterranean,495,Rural,Medium
45,-34.998619,146.819914,2364,3884.85,Southern,Mountain,228,Arid,355,Rural,High
46,78.950144,-171.682479,5415,8763.47,Northern,Wetland,74,Temperate,443,Rural,High
47,-22.650401,-59.152035,3048,2514.19,Southern,Wetland,506,Temperate,385,Rural,Low
48,-54.203064,-57.179870,5673,6016.54,Southern,Coastal,254,Mediterranean,270,Urban,Low
49,-9.298218,36.664162,4496,1032.10,Southern,Coastal,627,Mediterranean,126,Rural,Extreme
50,68.092897,141.978327,2072,7558.31,Northern,Mountain,532,Continental,583,Rural,Low
51,77.140080,-52.328841,4671,8562.55,Northern,Plains,617,Temperate,396,Urban,High
52,-71.863367,71.473489,8543,7976.83,Southern,Forest,526,Arid,579,Urban,Medium
53,25.500600,44.950023,924,2830.57,Northern,Desert,9,Temperate,862,Rural,High
54,-77.209945,-22.849726,3999,8570.30,Southern,Coastal,129,Mediterranean,60,Rural,Medium
55,88.374407,13.048500,8177,9809.56,Northern,Forest,570,Mediterranean,883,Rural,Medium
56,-71.474060,-133.776639,931,7933.62,Southern,Wetland,1000,Tropical,920,Rural,Low
57,-42.870856,-167.014869,5033,4758.66,Southern,Coastal,259,Arid,704,Rural,Low
58,52.772763,128.324227,1390,5857.78,Northern,Forest,217,Polar,406,Rural,High
59,0.410541,45.864252,1744,45.57,Northern,Desert,771,Temperate,652,Rural,High
60,-35.240752,-58.862659,7812,3911.72,Southern,Wetland,558,Mediterranean,848,Rural,High
61,-23.539803,-158.962513,7109,2612.92,Southern,Forest,560,Continental,711,Rural,Low
62,-86.625510,-168.661848,5021,9615.43,Southern,Coastal,466,Mediterranean,591,Rural,High
63,51.786226,-175.666094,5094,5748.27,Northern,Wetland,736,Polar,42,Rural,Extreme
64,-23.568859,26.347921,6768,2616.14,Southern,Mountain,499,Polar,922,Rural,Extreme
65,85.754546,2.886939,1863,9518.75,Northern,Wetland,638,Continental,567,Rural,Extreme
66,-53.475788,-104.453589,8271,5935.81,Southern,Plains,911,Mediterranean,861,Urban,Low
67,-17.622937,-26.203372,1842,1956.15,Southern,Mountain,682,Mediterranean,37,Rural,High
68,10.247719,-107.559454,7518,1137.50,Northern,Forest,298,Polar,852,Urban,Medium
69,-81.092330,-29.798517,7385,9001.25,Southern,Forest,238,Temperate,230,Urban,Low
70,-32.554688,17.356462,7619,3613.57,Southern,Forest,230,Temperate,319,Rural,High
71,-6.742721,-37.398551,8516,748.44,Southern,Forest,106,Mediterranean,531,Rural,Extreme
72,-70.271073,173.367029,3635,7800.09,Southern,Plains,557,Temperate,334,Rural,High
73,-14.763010,41.373029,5495,1638.69,Southern,Coastal,699,Arid,504,Rural,Low
74,-58.319203,-146.317756,5840,6473.43,Southern,Wetland,28,Mediterranean,692,Urban,High
75,-56.575743,37.442873,525,6279.91,Southern,Desert,577,Continental,467,Rural,High
76,8.178506,-121.192281,1492,907.81,Northern,Plains,611,Tropical,848,Rural,Medium
77,-33.109496,123.043393,3776,3675.15,Southern,Mountain,638,Temperate,906,Rural,High
78,-75.306603,-92.606518,4407,8359.03,Southern,Mountain,839,Arid,196,Rural,Medium
79,9.242970,163.587804,713,1025.97,Northern,Plains,250,Temperate,421,Rural,High
80,-78.448519,-87.574091,3035,8707.79,Southern,Wetland,952,Polar,799,Urban,Low
81,58.630772,107.831464,7010,6508.02,Northern,Desert,78,Temperate,655,Rural,Low
82,-24.891628,-164.780869,5930,2762.97,Southern,Desert,674,Arid,582,Rural,High
83,11.283912,28.290040,2565,1252.51,Northern,Mountain,965,Continental,269,Urban,High
84,-0.267598,152.749539,2219,29.70,Southern,Wetland,290,Temperate,619,Urban,Medium
85,-51.040835,-129.428761,2555,5665.53,Southern,Mountain,90,Temperate,374,Rural,High
86,16.145749,49.933834,7067,1792.18,Northern,Forest,953,Tropical,373,Rural,High
87,56.885179,168.181400,4469,6314.25,Northern,Mountain,492,Continental,361,Rural,High
88,-33.870551,-169.063326,7282,3759.63,Southern,Forest,136,Polar,472,Urban,Medium
89,65.221482,14.115852,4909,7239.58,Northern,Wetland,611,Continental,452,Rural,Extreme
90,4.458829,41.096846,3312,494.93,Northern,Forest,160,Polar,114,Rural,Extreme
91,-86.158007,-105.802117,3204,9563.54,Southern,Wetland,169,Polar,341,Rural,Extreme
92,-56.497549,-111.581612,2962,6271.23,Southern,Forest,316,Polar,220,Urban,Medium
93,61.599467,-134.610511,4070,6837.54,Northern,Mountain,783,Arid,333,Urban,Low
94,-33.943147,-78.779647,3866,3767.69,Southern,Plains,187,Continental,328,Urban,Extreme
95,79.277789,-41.960848,1012,8799.83,Northern,Coastal,670,Mediterranean,976,Urban,Extreme
96,31.270496,91.387391,2958,3471.03,Northern,Coastal,222,Tropical,408,Rural,Low
97,-69.152063,-6.459256,77,7675.88,Southern,Forest,567,Mediterranean,105,Urban,Extreme
98,-23.705978,-82.562046,7787,2631.36,Southern,Mountain,408,Mediterranean,188,Rural,Extreme
99,73.324909,40.686609,159,8139.06,Northern,Wetland,239,Continental,353,Rural,Low
100,8.951060,37.391888,3176,993.57,Northern,Wetland,52,Arid,58,Rural,Medium
101,-4.404805,-81.691315,2905,488.93,Southern,Plains,365,Tropical,405,Urban,Low
102,23.475154,2.926277,8813,2605.74,Northern,Forest,951,Continental,177,Urban,Medium
103,-39.215745,140.369050,819,4352.95,Southern,Wetland,45,Continental,566,Urban,Medium
104,76.601749,-147.165439,1001,8502.79,Northern,Plains,363,Arid,267,Rural,Extreme
105,26.275632,-150.451182,381,2916.60,Northern,Mountain,247,Mediterranean,951,Urban,High
106,-34.679224,-104.141296,8004,3849.39,Southern,Mountain,932,Polar,156,Rural,Extreme
107,-76.922237,106.841879,2911,8538.37,Southern,Wetland,475,Arid,668,Rural,High
108,72.189000,-131.607011,6081,8012.98,Northern,Coastal,696,Mediterranean,150,Rural,Low
109,56.064838,-107.860002,5378,6223.20,Northern,Plains,993,Mediterranean,763,Rural,High
110,73.464442,165.567556,8443,8154.55,Northern,Plains,152,Mediterranean,892,Rural,Medium
111,31.191766,-52.224600,1999,3462.29,Northern,Plains,520,Continental,941,Rural,Extreme
112,-62.980611,17.717750,2850,6990.85,Southern,Mountain,970,Arid,404,Rural,High
113,-15.942737,167.493490,7505,1769.64,Southern,Mountain,972,Mediterranean,572,Rural,Low
114,-67.275766,-170.941162,5645,7467.61,Southern,Coastal,890,Arid,634,Rural,Medium
115,28.752176,-18.021967,3138,3191.49,Northern,Coastal,835,Continental,421,Rural,High
116,64.098809,-48.533133,3075,7114.97,Northern,Mountain,259,Arid,772,Rural,High
117,-10.521879,-124.865977,362,1167.93,Southern,Wetland,216,Continental,886,Rural,High
118,-30.947247,111.925241,7219,3435.14,Southern,Wetland,183,Mediterranean,367,Rural,Low
119,49.341780,140.502483,4376,5476.94,Northern,Desert,375,Mediterranean,144,Urban,High
120,81.047744,27.416764,6784,8996.30,Northern,Coastal,329,Continental,11,Rural,Medium
121,41.742462,36.578482,1135,4633.41,Northern,Mountain,213,Tropical,627,Rural,Extreme
122,-53.300501,-11.549694,2900,5916.36,Southern,Mountain,77,Tropical,521,Rural,Low
123,-69.982520,-28.591734,1602,7768.06,Southern,Coastal,841,Mediterranean,538,Urban,Low
124,73.341939,73.878990,943,8140.96,Northern,Plains,562,Temperate,856,Rural,Low
125,-56.850551,63.868749,6475,6310.41,Southern,Coastal,111,Polar,257,Rural,High
126,-1.651512,69.051148,6381,183.32,Southern,Coastal,274,Polar,748,Rural,High
127,-58.399485,132.373421,2027,6482.34,Southern,Forest,104,Continental,231,Rural,Extreme
128,-28.252734,158.680014,5265,3136.05,Southern,Plains,302,Temperate,112,Rural,Extreme
129,-15.400213,83.302024,1398,1709.42,Southern,Wetland,100,Arid,693,Rural,Extreme
130,67.829098,145.453744,3993,7529.03,Northern,Coastal,669,Tropical,554,Rural,High
131,24.411422,-175.744382,2609,2709.67,Northern,Mountain,346,Arid,20,Rural,Extreme
132,-46.842897,-54.142189,601,5199.56,Southern,Desert,292,Continental,840,Rural,Medium
133,-13.769083,-31.071552,5731,1528.37,Southern,Coastal,58,Arid,435,Rural,Extreme
134,-23.745705,165.694873,7396,2635.77,Southern,Coastal,964,Temperate,31,Rural,Medium
135,33.447075,-6.693432,7679,3712.63,Northern,Desert,713,Continental,519,Urban,Low
136,-6.930173,-126.692962,2316,769.25,Southern,Mountain,743,Polar,7,Rural,Low
137,42.231788,-9.220969,6766,4687.73,Northern,Forest,636,Arid,202,Rural,Low
138,63.265404,-87.873986,2803,7022.46,Northern,Forest,159,Tropical,709,Urban,Low
139,88.194639,-143.957426,474,9789.60,Northern,Wetland,84,Mediterranean,914,Rural,Medium
140,72.618599,107.527892,989,8060.66,Northern,Wetland,451,Mediterranean,588,Rural,High
141,-9.014332,123.764513,493,1000.59,Southern,Mountain,704,Tropical,455,Rural,Medium
142,80.222962,66.064749,4080,8904.75,Northern,Plains,792,Polar,479,Rural,Extreme
143,-12.841091,-166.458683,2644,1425.36,Southern,Coastal,310,Temperate,784,Rural,High
144,29.126807,127.755412,8695,3233.08,Northern,Forest,886,Tropical,75,Rural,Medium
145,-51.916241,-57.056202,1196,5762.70,Southern,Coastal,478,Arid,669,Urban,High
146,60.821247,91.878303,6288,6751.16,Northern,Coastal,736,Tropical,400,Rural,High
147,87.406973,172.020436,7359,9702.17,Northern,Coastal,619,Arid,253,Rural,High
148,-80.186812,33.338964,7718,8900.74,Southern,Coastal,706,Mediterranean,195,Rural,Low
149,62.343782,-67.881408,6203,6920.16,Northern,Plains,530,Mediterranean,422,Urban,High
150,27.801718,-137.834636,2018,3085.99,Northern,Desert,43,Mediterranean,890,Urban,High
151,80.686397,98.488383,7775,8956.19,Northern,Forest,359,Temperate,23,Rural,High
152,-32.078133,-133.740607,4435,3560.67,Southern,Desert,993,Polar,354,Urban,Extreme
153,-29.188026,167.125283,5439,3239.87,Southern,Mountain,858,Temperate,306,Rural,High
154,83.857702,65.959760,7599,9308.20,Northern,Forest,921,Temperate,732,Urban,Low
155,-1.002899,126.353095,4199,111.32,Southern,Wetland,351,Temperate,945,Rural,Medium
156,15.789765,91.050063,1788,1752.66,Northern,Coastal,693,Tropical,788,Rural,Medium
157,87.742492,103.184171,168,9739.42,Northern,Mountain,313,Tropical,43,Rural,Low
158,6.326636,66.204608,4750,702.26,Northern,Wetland,540,Polar,53,Rural,Low
159,47.120759,-91.292059,8184,5230.40,Northern,Mountain,477,Continental,724,Urban,Extreme
160,-79.245929,32.521649,5807,8796.30,Southern,Coastal,387,Continental,264,Rural,High
161,5.137453,46.524890,1631,570.26,Northern,Coastal,561,Mediterranean,263,Rural,Low
162,-1.698230,-172.536496,2825,188.50,Southern,Desert,402,Mediterranean,457,Rural,Extreme
163,-15.657358,-146.242207,4818,1737.97,Southern,Desert,561,Tropical,482,Rural,Medium
164,22.648785,-143.828421,3193,2514.02,Northern,Desert,409,Temperate,664,Rural,High
165,-31.219980,-76.932466,6127,3465.42,Southern,Mountain,961,Mediterranean,287,Rural,High
166,31.294823,-118.946137,5587,3473.73,Northern,Coastal,237,Mediterranean,515,Rural,Medium
167,-0.574215,-88.655879,7325,63.74,Southern,Plains,643,Mediterranean,803,Rural,Medium
168,-9.732723,-164.278989,5740,1080.33,Southern,Mountain,367,Arid,647,Rural,High
169,-2.310799,-9.699055,8104,256.50,Southern,Wetland,148,Polar,469,Rural,Medium
170,-88.778471,49.650688,1491,9854.41,Southern,Coastal,85,Continental,783,Rural,High
171,-33.904581,-52.577196,7668,3763.41,Southern,Wetland,791,Tropical,691,Urban,Low
172,-27.958004,2.691168,6777,3103.34,Southern,Plains,437,Temperate,671,Rural,High
173,-76.220147,94.668472,7213,8460.44,Southern,Plains,813,Continental,163,Urban,High
174,48.164203,-95.103304,4112,5346.23,Northern,Desert,677,Continental,885,Rural,Medium
175,-39.229846,107.079272,6141,4354.51,Southern,Forest,494,Tropical,931,Rural,Extreme
176,59.136193,177.450649,1872,6564.12,Northern,Plains,989,Continental,403,Urban,Extreme
177,23.760096,-32.620596,1844,2637.37,Northern,Plains,354,Mediterranean,793,Rural,High
178,-14.352202,-114.934250,87,1593.09,Southern,Desert,71,Temperate,405,Urban,Extreme
179,-49.640111,151.073909,7293,5510.05,Southern,Wetland,360,Temperate,607,Rural,Extreme
180,10.575418,4.722575,6698,1173.87,Northern,Wetland,793,Polar,711,Rural,High
181,11.896357,110.426364,7518,1320.50,Northern,Mountain,408,Continental,249,Rural,Low
182,-59.601247,159.892786,7585,6615.74,Southern,Forest,233,Arid,546,Rural,High
183,35.638041,-49.571754,5175,3955.82,Northern,Desert,49,Tropical,315,Rural,Medium
184,4.734967,156.188037,5748,525.58,Northern,Forest,258,Tropical,857,Rural,High
185,48.428296,-139.050849,3522,5375.54,Northern,Forest,714,Temperate,692,Rural,High
186,52.877345,60.329917,6015,5869.39,Northern,Wetland,160,Polar,841,Rural,High
187,-12.723371,176.398248,6519,1412.29,Southern,Plains,866,Polar,661,Rural,High
188,66.852772,70.595904,5005,7420.66,Northern,Plains,763,Polar,152,Rural,High
189,16.914783,117.251835,1141,1877.54,Northern,Plains,993,Temperate,684,Rural,High
190,27.195950,-178.881192,8708,3018.75,Northern,Coastal,147,Polar,889,Rural,Extreme
191,-69.456920,160.213967,3387,7709.72,Southern,Desert,172,Polar,848,Rural,Extreme
192,66.423246,83.092413,6685,7372.98,Northern,Forest,546,Polar,289,Rural,Low
193,66.109170,-43.839362,4868,7338.12,Northern,Mountain,241,Tropical,615,Urban,High
194,31.163963,-164.084200,3354,3459.20,Northern,Wetland,178,Continental,787,Rural,High
195,81.033739,52.511807,5374,8994.75,Northern,Plains,185,Continental,383,Rural,Low
196,60.741231,41.892343,6486,6742.28,Northern,Wetland,790,Tropical,999,Rural,Extreme
197,43.146117,148.791049,7301,4789.22,Northern,Mountain,312,Temperate,854,Urban,Low
198,-77.783083,8.802908,506,8633.92,Southern,Forest,979,Continental,922,Urban,Medium
199,-48.944653,-143.776810,4582,5432.86,Southern,Forest,613,Mediterranean,98,Rural,Medium
200,42.250238,-63.335393,7275,4689.78,Northern,Mountain,237,Temperate,992,Rural,High
201,86.101397,-142.473815,6419,9557.26,Northern,Mountain,647,Tropical,484,Rural,Low
202,-20.509248,-161.550033,7683,2276.53,Southern,Coastal,379,Mediterranean,757,Urban,Low
203,50.921980,124.535230,2932,5652.34,Northern,Coastal,374,Tropical,952,Urban,Low
204,80.545411,-74.092113,6845,8940.54,Northern,Mountain,800,Tropical,139,Rural,Medium
205,-22.985401,-157.198686,7735,2551.38,Southern,Desert,765,Temperate,362,Rural,Low
206,-12.585612,9.566813,5735,1397.00,Southern,Coastal,449,Mediterranean,629,Rural,Extreme
207,-59.365820,-27.687283,8091,6589.61,Southern,Wetland,930,Temperate,905,Rural,Medium
208,34.012212,66.789339,149,3775.36,Northern,Plains,578,Temperate,403,Urban,Extreme
209,87.447027,-2.481989,5591,9706.62,Northern,Forest,619,Temperate,665,Urban,Low
210,65.626274,56.318686,8116,7284.52,Northern,Forest,177,Continental,250,Urban,Medium
211,-78.196402,-145.121615,2786,8679.80,Southern,Plains,956,Arid,570,Rural,Medium
212,22.402704,-24.184098,5458,2486.70,Northern,Wetland,511,Arid,307,Rural,Medium
213,68.629792,110.763319,2899,7617.91,Northern,Wetland,159,Arid,515,Rural,Extreme
214,-5.943368,-125.612629,720,659.71,Southern,Forest,779,Polar,419,Rural,Medium
215,-53.620427,104.851573,2664,5951.87,Southern,Mountain,198,Continental,723,Urban,High
216,-31.340019,5.340192,5638,3478.74,Southern,Plains,15,Tropical,784,Urban,Extreme
217,-67.746160,-44.710547,3525,7519.82,Southern,Desert,926,Continental,354,Rural,Low
218,73.651902,-33.381201,7926,8175.36,Northern,Desert,177,Temperate,293,Rural,Low
219,43.487836,27.949219,6035,4827.15,Northern,Forest,227,Polar,768,Rural,Extreme
220,55.895640,104.440369,234,6204.42,Northern,Wetland,509,Tropical,639,Rural,Extreme
221,66.168451,49.014325,3334,7344.70,Northern,Mountain,813,Temperate,77,Rural,High
222,33.119874,-158.369932,1139,3676.31,Northern,Desert,0,Polar,8,Rural,Low
223,-64.660405,-15.793779,8752,7177.30,Southern,Mountain,337,Arid,731,Rural,High
224,65.785206,-100.115730,8345,7302.16,Northern,Desert,819,Polar,156,Rural,Extreme
225,-25.800800,-80.342422,5642,2863.89,Southern,Plains,894,Continental,133,Urban,Low
226,-33.169020,150.684765,5888,3681.76,Southern,Forest,374,Tropical,261,Urban,Low
227,-68.179673,168.373328,8332,7567.94,Southern,Desert,711,Arid,823,Rural,Medium
228,82.680748,171.727093,5135,9177.56,Northern,Coastal,723,Temperate,920,Urban,Medium
229,11.492194,-46.225769,141,1275.63,Northern,Plains,937,Temperate,859,Rural,Medium
230,84.161980,139.686068,4307,9341.98,Northern,Mountain,308,Temperate,384,Rural,High
231,85.891851,33.804151,3352,9534.00,Northern,Wetland,484,Arid,840,Rural,Extreme
232,-0.084056,-82.665563,8550,9.33,Southern,Forest,365,Temperate,862,Rural,High
233,17.548108,-12.069495,641,1947.84,Northern,Plains,864,Polar,210,Rural,Low
234,-53.956094,35.743657,6508,5989.13,Southern,Mountain,515,Mediterranean,11,Rural,Extreme
235,-24.617659,-63.395107,7256,2732.56,Southern,Forest,884,Mediterranean,544,Urban,Extreme
236,-39.189274,126.564577,2284,4350.01,Southern,Mountain,9,Mediterranean,77,Rural,High
237,-51.764219,-90.116443,6611,5745.83,Southern,Mountain,681,Temperate,368,Rural,Low
238,30.531390,-62.584830,5637,3388.98,Northern,Desert,658,Arid,219,Rural,Low
239,20.939858,21.154266,6048,2324.32,Northern,Coastal,998,Mediterranean,201,Rural,High
240,62.478089,13.043987,3556,6935.07,Northern,Plains,646,Polar,740,Rural,Medium
241,31.438930,-134.275678,5434,3489.72,Northern,Mountain,118,Continental,542,Rural,Extreme
242,21.012821,-22.688218,1735,2332.42,Northern,Coastal,705,Tropical,424,Rural,High
243,-37.979702,82.822552,6002,4215.75,Southern,Coastal,234,Mediterranean,370,Urban,High
244,20.615800,136.972379,1618,2288.35,Northern,Desert,397,Continental,710,Rural,Medium
245,-17.976540,-150.760659,4538,1995.40,Southern,Forest,202,Tropical,892,Urban,Low
246,-68.654659,-100.352377,1909,7620.67,Southern,Desert,184,Continental,160,Rural,Extreme
247,8.194994,-77.793628,5876,909.64,Northern,Wetland,92,Mediterranean,986,Rural,Extreme
248,69.482604,30.279334,6043,7712.57,Northern,Plains,748,Temperate,607,Urban,Extreme
249,-63.653279,143.631100,7682,7065.51,Southern,Forest,463,Mediterranean,249,Rural,Extreme
250,-10.862288,-134.385983,4512,1205.71,Southern,Plains,1000,Polar,458,Rural,High
251,82.268115,53.532212,1961,9131.76,Northern,Mountain,759,Temperate,820,Rural,Extreme
252,41.915614,108.655074,5678,4652.63,Northern,Forest,261,Temperate,915,Urban,Low
253,43.859333,26.036660,7682,4868.39,Northern,Mountain,513,Temperate,37,Rural,Medium
254,-51.819717,-42.952202,720,5751.99,Southern,Coastal,119,Tropical,810,Urban,Low
255,-78.947651,-50.768240,3314,8763.19,Southern,Coastal,891,Temperate,645,Rural,High
256,17.143421,153.865499,8306,1902.92,Northern,Desert,822,Temperate,709,Rural,High
257,-56.142013,80.187608,2802,6231.76,Southern,Wetland,964,Polar,239,Rural,Low
258,-2.892683,94.539311,4060,321.09,Southern,Wetland,14,Continental,476,Urban,High
259,89.322233,-94.986022,5667,9914.77,Northern,Mountain,265,Tropical,317,Rural,Low
260,77.966567,76.208652,6100,8654.29,Northern,Coastal,158,Arid,216,Urban,High
261,-33.842095,173.138574,7957,3756.47,Southern,Mountain,446,Continental,489,Urban,High
262,18.662765,-119.614798,7845,2071.57,Northern,Wetland,221,Continental,218,Rural,Medium
263,37.519658,-25.338780,117,4164.68,Northern,Coastal,818,Mediterranean,126,Rural,Medium
264,-55.938452,-91.476502,2139,6209.17,Southern,Plains,430,Polar,655,Rural,High
265,33.358706,-106.042354,730,3702.82,Northern,Plains,907,Polar,796,Rural,Extreme
266,74.536857,-7.727197,8629,8273.59,Northern,Forest,220,Polar,130,Rural,Low
267,-40.878335,-178.899161,5593,4537.50,Southern,Mountain,895,Temperate,638,Rural,Low
