ID,Latitude,Longitude,Elevation,Distance from Equator (km),Hemisphere,Terrain Type,Population Density,Climate Zone,Water Proximity (km),Urban/Rural,Natural Risk Zone
1,-86.351648,135.924818,2887,9585.03,Southern,Coastal,881,Tropical,21,Rural,Extreme
2,-45.748938,-113.052280,5842,5078.13,Southern,Wetland,751,Mediterranean,987,Rural,Medium
3,-39.080618,-64.701047,2488,4337.95,Southern,Wetland,59,Mediterranean,223,Rural,Low
4,-4.166601,-111.941438,4576,462.49,Southern,Desert,220,Continental,749,Rural,Medium
5,63.506634,29.185785,2528,7049.24,Northern,Plains,999,Polar,159,Urban,Extreme
6,-43.914470,95.511288,2840,4874.51,Southern,Coastal,323,Continental,289,Rural,Medium
7,-62.556493,-134.562589,8188,6943.77,Southern,Coastal,199,Polar,388,Urban,Low
8,67.890359,-49.569674,939,7535.83,Northern,Desert,880,Mediterranean,839,Rural,High
9,24.851334,25.167432,1276,2758.50,Northern,Plains,769,Tropical,694,Urban,Medium
10,61.823446,-93.874711,2201,6862.40,Northern,Wetland,749,Polar,795,Rural,Low
11,11.770477,-127.668576,5398,1306.52,Northern,Mountain,72,Temperate,582,Urban,Medium
12,-66.049425,-64.809164,1829,7331.49,Southern,Plains,940,Continental,198,Rural,Extreme
13,-53.218941,-148.932642,4641,5907.30,Southern,Coastal,818,Temperate,671,Rural,Extreme
14,81.731463,24.604464,8708,9072.19,Northern,Forest,792,Mediterranean,437,Rural,Extreme
15,34.205956,-111.670555,3806,3796.86,Northern,Coastal,254,Tropical,173,Urban,Extreme
16,50.966345,20.550336,1715,5657.26,Northern,Wetland,120,Mediterranean,868,Rural,High
17,-64.168997,13.923332,1131,7122.76,Southern,Plains,802,Arid,79,Rural,Extreme
18,-53.164056,-143.988284,8378,5901.21,Southern,Plains,544,Polar,350,Rural,Medium
19,58.031689,106.171116,4867,6441.52,Northern,Plains,631,Continental,429,Rural,Low
20,46.346588,-31.094586,7672,5144.47,Northern,Plains,155,Arid,136,Rural,Extreme
21,-8.178902,-52.455692,6945,907.86,Southern,Desert,443,Polar,321,Rural,Extreme
22,-76.660260,108.418155,3911,8509.29,Southern,Plains,975,Temperate,742,Rural,Extreme
23,19.670507,-28.095812,5081,2183.43,Northern,Wetland,633,Polar,565,Urban,Medium
24,40.009061,116.004339,6027,4441.01,Northern,Coastal,834,Polar,272,Urban,Medium
25,21.273632,95.473899,6900,2361.37,Northern,Plains,32,Continental,719,Urban,Medium
26,-9.041449,-16.372399,3475,1003.60,Southern,Desert,617,Tropical,346,Urban,Medium
27,15.425623,-90.126436,6788,1712.24,Northern,Coastal,373,Temperate,180,Rural,High
28,-19.652589,129.983293,3268,2181.44,Southern,Plains,827,Temperate,697,Urban,Medium
29,54.105852,-66.327596,7743,6005.75,Northern,Coastal,913,Continental,668,Rural,High
30,-36.030296,-35.309899,14,3999.36,Southern,Forest,886,Temperate,62,Rural,Low
31,88.970603,-22.296941,4076,9875.74,Northern,Desert,380,Arid,494,Urban,Low
32,-12.579331,153.729661,6676,1396.31,Southern,Desert,955,Polar,853,Rural,High
33,84.953674,-111.443192,2488,9429.86,Northern,Coastal,514,Tropical,715,Urban,Low
34,74.842689,-43.127920,2754,8307.54,Northern,Mountain,887,Mediterranean,304,Rural,Low
35,-6.761241,-15.513887,7293,750.50,Southern,Coastal,779,Arid,56,Urban,Medium
36,25.797620,-24.668486,1345,2863.54,Northern,Desert,985,Tropical,322,Urban,Extreme
37,85.155628,28.342785,3615,9452.27,Northern,Plains,685,Continental,96,Rural,High
38,38.143271,93.845851,6983,4233.90,Northern,Wetland,447,Polar,40,Rural,Medium
39,-11.667178,-85.958814,1504,1295.06,Southern,Plains,807,Continental,269,Urban,Extreme
40,77.225814,24.662835,5405,8572.07,Northern,Wetland,255,Arid,800,Urban,High
41,-36.439066,-111.622510,7197,4044.74,Southern,Plains,738,Temperate,818,Rural,High
42,70.846730,-118.653872,756,7863.99,Northern,Coastal,969,Continental,615,Rural,Low
43,-55.539545,41.738842,4049,6164.89,Southern,Forest,947,Mediterranean,342,Rural,Low
44,-18.037202,109.425954,3559,2002.13,Southern,Mountain,289,Continental,198,Urban,Extreme
45,86.702016,149.833084,3039,9623.92,Northern,Desert,615,Mediterranean,799,Urban,Extreme
46,-10.435117,44.308935,3973,1158.30,Southern,Plains,64,Temperate,240,Rural,Medium
47,-78.764423,110.012047,7234,8742.85,Southern,Mountain,282,Tropical,692,Rural,Medium
48,44.091704,1.489140,5998,4894.18,Northern,Plains,454,Continental,44,Rural,Extreme
49,20.012046,-131.794768,2654,2221.34,Northern,Plains,638,Polar,798,Rural,High
50,-54.072872,92.467473,6052,6002.09,Southern,Desert,82,Mediterranean,173,Rural,Low
51,-31.504842,54.595312,5408,3497.04,Southern,Mountain,448,Temperate,631,Urban,High
52,-64.368889,-97.170825,7802,7144.95,Southern,Mountain,359,Temperate,754,Rural,Extreme
53,-38.283114,-168.252023,1146,4249.43,Southern,Mountain,345,Mediterranean,905,Urban,High
54,73.519363,4.396711,7108,8160.65,Northern,Wetland,827,Polar,302,Urban,High
55,67.889427,-1.794497,6105,7535.73,Northern,Forest,728,Continental,789,Rural,Low
56,-56.483586,-160.692381,2413,6269.68,Southern,Mountain,224,Temperate,292,Rural,Medium
57,-66.496868,-80.027795,5810,7381.15,Southern,Desert,320,Tropical,454,Rural,Low
58,-20.173485,92.400453,3555,2239.26,Southern,Plains,771,Arid,194,Urban,Medium
59,-51.668390,-178.330403,1583,5735.19,Southern,Plains,438,Continental,863,Rural,Medium
60,76.472633,76.118569,4974,8488.46,Northern,Mountain,597,Continental,239,Urban,High
