Timestamp,Value,Trend,Day of Week,Is Weekend,Is Holiday,Season,Quarter,Month,Week Number,Hour of Day,Peak Hours
2023-02-20T17:21:00.052Z,475.56,-0.533,Monday,false,false,Winter,1,February,3,12,true
2023-11-24T17:38:43.800Z,884.85,-0.995,Friday,false,true,Fall,4,November,4,12,true
2023-04-11T15:59:53.461Z,349.77,0.816,Tuesday,false,false,Spring,2,April,2,11,true
2023-07-12T03:28:56.753Z,384.66,-0.019,Tuesday,false,false,Summer,3,July,2,23,false
2023-08-23T23:20:28.821Z,799.67,0.195,Wednesday,false,false,Summer,3,August,4,19,false
2023-12-03T05:52:52.047Z,588.75,0.120,Sunday,true,false,Fall,4,December,1,0,false
2023-10-20T07:58:30.219Z,87.87,-0.584,Friday,false,false,Fall,4,October,3,3,false
2023-08-18T15:51:57.569Z,608.22,-0.746,Friday,false,false,Summer,3,August,3,11,true
2023-05-16T19:59:32.416Z,17.77,0.029,Tuesday,false,false,Spring,2,May,3,15,true
2023-12-12T15:54:13.601Z,829.86,0.896,Tuesday,false,false,Fall,4,December,2,10,true
2023-02-16T07:53:50.099Z,328.39,0.419,Thursday,false,false,Winter,1,February,3,2,false
2023-12-10T05:06:00.091Z,764.63,0.771,Sunday,true,false,Fall,4,December,2,0,false
2023-08-18T21:00:26.768Z,918.86,0.825,Friday,false,false,Summer,3,August,3,17,true
2023-02-08T15:10:25.277Z,498.21,0.491,Wednesday,false,false,Winter,1,February,2,10,true
2023-09-24T18:51:57.905Z,755.50,-0.757,Sunday,true,false,Summer,3,September,4,14,true
2023-12-10T15:03:14.294Z,737.94,-0.761,Sunday,true,false,Fall,4,December,2,10,true
2023-09-21T09:14:42.012Z,599.03,-0.385,Thursday,false,false,Summer,3,September,3,5,false
2023-05-23T05:52:12.681Z,85.69,0.350,Tuesday,false,false,Spring,2,May,4,1,false
2023-11-17T04:21:10.815Z,943.62,-0.716,Thursday,false,false,Fall,4,November,3,23,false
2023-02-22T13:20:23.413Z,56.59,0.678,Wednesday,false,false,Winter,1,February,4,8,false
2023-01-29T09:23:48.946Z,429.86,-0.999,Sunday,true,false,Winter,1,January,5,4,false
2023-02-20T01:12:55.115Z,860.95,0.251,Sunday,true,false,Winter,1,February,3,20,false
2023-10-07T07:27:30.795Z,83.78,0.749,Saturday,true,false,Fall,4,October,1,3,false
2023-11-17T16:19:44.628Z,620.10,-0.667,Friday,false,false,Fall,4,November,3,11,true
2023-11-17T11:05:53.593Z,467.69,-0.178,Friday,false,false,Fall,4,November,3,6,false
2023-04-03T03:07:00.042Z,39.88,0.947,Sunday,true,false,Spring,2,April,1,23,false
2023-11-24T20:11:09.479Z,785.25,-0.429,Friday,false,true,Fall,4,November,4,15,true
2023-05-10T15:30:39.065Z,937.13,0.970,Wednesday,false,false,Spring,2,May,2,11,true
2023-05-01T18:03:18.300Z,67.26,0.751,Monday,false,false,Spring,2,May,1,14,true
2023-12-16T07:27:06.251Z,894.65,-0.648,Saturday,true,false,Fall,4,December,3,2,false
2023-04-21T03:07:33.314Z,123.03,-0.110,Thursday,false,false,Spring,2,April,3,23,false
2023-09-10T03:14:27.256Z,651.60,-0.388,Saturday,true,false,Summer,3,September,2,23,false
2023-12-15T03:41:45.998Z,231.68,-0.184,Thursday,false,false,Fall,4,December,2,22,false
2023-06-22T12:20:39.510Z,528.54,-0.150,Thursday,false,false,Spring,2,June,4,8,false
2023-05-26T22:58:35.028Z,589.89,0.645,Friday,false,false,Spring,2,May,4,18,false
2023-04-29T22:24:37.203Z,506.94,-0.929,Saturday,true,false,Spring,2,April,5,18,false
2023-08-31T14:48:07.807Z,23.26,-0.310,Thursday,false,false,Summer,3,August,5,10,true
2023-08-17T22:49:29.336Z,80.64,-0.077,Thursday,false,false,Summer,3,August,3,18,false
2023-02-06T18:33:24.683Z,162.70,0.838,Monday,false,false,Winter,1,February,1,13,true
2023-09-10T07:31:21.906Z,300.74,0.537,Sunday,true,false,Summer,3,September,2,3,false
2023-05-04T17:56:09.836Z,994.88,0.340,Thursday,false,false,Spring,2,May,1,13,true
2023-11-02T17:56:08.474Z,413.21,0.442,Thursday,false,false,Fall,4,November,1,13,true
2023-01-31T12:18:37.832Z,315.07,-0.370,Tuesday,false,false,Winter,1,January,5,7,false
2023-01-28T04:19:10.665Z,287.54,0.903,Friday,false,false,Winter,1,January,4,23,false
2023-07-29T22:32:52.368Z,176.05,-0.629,Saturday,true,false,Summer,3,July,5,18,false
2023-09-26T22:53:16.931Z,51.19,0.399,Tuesday,false,false,Summer,3,September,4,18,false
2023-07-22T21:34:32.268Z,87.94,0.228,Saturday,true,false,Summer,3,July,4,17,true
2023-06-23T06:22:11.590Z,282.43,0.309,Friday,false,false,Spring,2,June,4,2,false
2023-04-23T21:00:05.808Z,720.11,-0.652,Sunday,true,false,Spring,2,April,4,17,true
2023-03-25T01:59:08.353Z,921.56,0.787,Friday,false,false,Winter,1,March,4,21,false
2023-05-01T10:22:32.852Z,234.16,0.495,Monday,false,false,Spring,2,May,1,6,false
2023-09-25T22:33:43.842Z,148.66,0.173,Monday,false,false,Summer,3,September,4,18,false
2023-02-12T09:58:48.870Z,339.81,0.221,Sunday,true,false,Winter,1,February,2,4,false
2023-08-21T11:49:49.945Z,791.67,0.162,Monday,false,false,Summer,3,August,3,7,false
2023-01-19T21:40:14.889Z,565.98,0.602,Thursday,false,false,Winter,1,January,3,16,true
2023-01-14T13:43:18.637Z,123.97,0.058,Saturday,true,false,Winter,1,January,2,8,false
2023-07-31T02:58:08.207Z,610.67,0.327,Sunday,true,false,Summer,3,July,5,22,false
2023-10-03T10:24:49.721Z,750.98,-0.844,Tuesday,false,false,Fall,4,October,1,6,false
2023-06-12T15:57:05.325Z,758.56,-0.332,Monday,false,false,Spring,2,June,2,11,true
2023-04-07T16:48:44.076Z,555.10,-0.305,Friday,false,false,Spring,2,April,1,12,true
2023-04-24T04:58:28.699Z,740.54,0.463,Monday,false,false,Spring,2,April,4,0,false
2023-01-08T20:40:21.683Z,938.55,-0.990,Sunday,true,false,Winter,1,January,2,15,true
2023-04-27T09:47:47.520Z,651.23,-0.120,Thursday,false,false,Spring,2,April,4,5,false
2023-04-18T13:02:09.515Z,283.43,0.805,Tuesday,false,false,Spring,2,April,3,9,true
2023-01-22T10:21:54.173Z,358.26,-0.913,Sunday,true,false,Winter,1,January,4,5,false
2023-05-20T03:12:38.901Z,14.39,0.244,Friday,false,false,Spring,2,May,3,23,false
2023-07-05T19:19:55.150Z,843.37,0.238,Wednesday,false,false,Summer,3,July,1,15,true
