ID,Category,Subcategory,Size,Color,Material,Brand,Price Range,Rating,In Stock,Shipping Weight,Age Group
1,Food,Beverages,Large,White,Cotton,Epsilon,Budget,1,false,14.40,Teens
2,Home,Kitchen,Medium,Blue,Plastic,Delta,Luxury,4,true,0.19,Teens
3,Food,Fresh,Large,Red,Leather,Beta,Luxury,3,false,16.53,Teens
4,Home,Decor,Large,Black,Glass,Beta,Luxury,4,true,16.12,Teens
5,Electronics,Laptops,Small,Purple,Plastic,Gamma,Luxury,5,false,14.75,Adults
6,Food,Fresh,Large,Purple,Plastic,Alpha,Mid-range,1,false,15.80,Teens
7,Food,Frozen,Small,Green,Wood,Beta,Budget,5,false,17.53,Seniors
8,Electronics,Tablets,Small,Green,Glass,Delta,Luxury,2,false,13.34,Seniors
9,Electronics,Tablets,Small,Yellow,Wood,Delta,Budget,5,false,7.40,Adults
10,Electronics,Laptops,Large,Blue,Leather,Epsilon,Premium,4,true,4.74,Children
11,Sports,Nutrition,Small,Red,Metal,Gamma,Luxury,2,false,5.87,Seniors
12,Home,Decor,Medium,Yellow,Glass,Beta,Mid-range,3,true,19.88,Adults
13,Home,Bath,Small,Green,Glass,Epsilon,Budget,5,true,7.28,Teens
14,Home,Decor,Small,Green,Glass,Delta,Mid-range,3,true,2.98,Children
15,Electronics,Laptops,Small,Blue,Plastic,Epsilon,Luxury,4,true,13.76,Adults
16,Sports,Equipment,Small,Green,Metal,Gamma,Luxury,3,false,7.67,Teens
17,Food,Snacks,Large,Red,Plastic,Delta,Premium,5,false,4.16,Children
18,Food,Snacks,Large,Purple,Leather,Alpha,Luxury,5,true,2.13,Seniors
19,Food,Frozen,Medium,Red,Leather,Epsilon,Mid-range,2,false,19.64,Teens
20,Sports,Nutrition,Small,Red,Plastic,Gamma,Budget,5,false,8.93,Seniors
21,Food,Fresh,Small,Green,Wood,Beta,Budget,3,true,14.76,Adults
22,Sports,Accessories,Small,Black,Metal,Gamma,Premium,2,false,6.59,Seniors
23,Electronics,Accessories,Small,Purple,Leather,Gamma,Luxury,3,false,11.43,Teens
24,Sports,Accessories,Medium,Purple,Leather,Gamma,Premium,2,true,7.91,Seniors
25,Home,Bath,Large,Black,Glass,Gamma,Mid-range,4,true,3.78,Children
26,Home,Furniture,Medium,White,Plastic,Gamma,Mid-range,4,false,10.36,Teens
27,Electronics,Phones,Small,Purple,Leather,Gamma,Luxury,4,true,5.60,Children
28,Sports,Apparel,Large,Purple,Wood,Gamma,Mid-range,3,true,9.46,Seniors
29,Clothing,Shirts,Large,Yellow,Wood,Alpha,Budget,5,true,10.52,Seniors
30,Clothing,Dresses,Medium,White,Metal,Epsilon,Luxury,4,true,1.25,Children
31,Sports,Accessories,Small,White,Wood,Delta,Mid-range,4,true,1.65,Children
32,Sports,Accessories,Small,Green,Metal,Alpha,Mid-range,5,false,5.05,Adults
33,Home,Kitchen,Medium,White,Metal,Gamma,Budget,1,false,16.61,Seniors
34,Clothing,Dresses,Large,Black,Metal,Epsilon,Budget,2,true,3.75,Teens
35,Sports,Apparel,Large,Blue,Cotton,Beta,Premium,3,false,6.80,Adults
36,Home,Kitchen,Medium,Red,Cotton,Delta,Luxury,2,false,13.24,Seniors
37,Clothing,Pants,Medium,Purple,Cotton,Gamma,Mid-range,4,false,8.52,Children
38,Electronics,Accessories,Medium,Green,Leather,Gamma,Luxury,5,false,0.44,Seniors
39,Home,Kitchen,Small,White,Wood,Delta,Premium,1,true,0.34,Adults
40,Sports,Apparel,Small,Blue,Plastic,Gamma,Premium,4,true,12.83,Seniors
41,Clothing,Dresses,Medium,White,Glass,Alpha,Budget,2,false,19.44,Teens
42,Food,Fresh,Small,White,Plastic,Gamma,Budget,4,true,11.91,Children
43,Clothing,Shirts,Small,Blue,Cotton,Alpha,Premium,3,true,15.44,Children
44,Food,Frozen,Medium,Purple,Leather,Delta,Budget,4,false,4.90,Seniors
45,Electronics,Phones,Medium,Red,Cotton,Gamma,Luxury,4,true,12.87,Teens
