ID,Category,Subcategory,Size,Color,Material,Brand,Price Range,Rating,In Stock,Shipping Weight,Age Group
1,Electronics,Tablets,Large,Yellow,Wood,Delta,Luxury,5,true,18.82,Seniors
2,Clothing,Shoes,Medium,Red,Metal,Gamma,Budget,3,false,10.91,Teens
3,Home,Kitchen,Medium,Green,Leather,Epsilon,Budget,1,false,14.94,Children
4,Sports,Equipment,Medium,Purple,Metal,Alpha,Mid-range,3,true,3.71,Seniors
5,Sports,Apparel,Medium,Green,Plastic,Gamma,Mid-range,1,false,12.75,Seniors
6,Clothing,Pants,Medium,Purple,Leather,Epsilon,Mid-range,2,true,11.00,Teens
7,Food,Frozen,Large,Green,Leather,Gamma,Mid-range,3,true,6.24,Adults
8,Sports,Nutrition,Small,Green,Cotton,Gamma,Budget,4,true,13.09,Children
9,Sports,Apparel,Large,Green,Glass,Delta,Luxury,1,true,12.94,Children
10,Food,Frozen,Large,Green,Leather,Beta,Mid-range,4,true,10.35,Adults
11,Sports,Equipment,Small,Purple,Cotton,Gamma,Luxury,1,true,6.19,Children
12,Sports,Nutrition,Small,Yellow,Plastic,Alpha,Budget,4,true,18.75,Children
13,Home,Decor,Small,Blue,Metal,Gamma,Mid-range,5,true,5.30,Seniors
14,Clothing,Shirts,Medium,Blue,Leather,Alpha,Mid-range,3,true,13.13,Children
15,Sports,Apparel,Small,White,Glass,Delta,Premium,4,true,4.20,Children
16,Home,Decor,Medium,White,Leather,Beta,Budget,2,false,14.71,Teens
17,Sports,Apparel,Medium,Purple,Plastic,Beta,Mid-range,1,true,3.57,Children
18,Clothing,Pants,Small,Purple,Glass,Gamma,Luxury,1,true,15.14,Seniors
19,Clothing,Shirts,Large,White,Cotton,Delta,Mid-range,2,true,11.58,Children
20,Clothing,Dresses,Large,Purple,Cotton,Epsilon,Mid-range,4,true,9.86,Adults
21,Sports,Apparel,Large,Black,Leather,Alpha,Mid-range,5,true,8.93,Adults
22,Home,Decor,Small,Red,Glass,Beta,Luxury,2,false,3.19,Teens
23,Clothing,Shoes,Small,Yellow,Cotton,Alpha,Premium,5,true,0.85,Teens
24,Home,Decor,Large,Purple,Plastic,Epsilon,Mid-range,4,false,9.12,Children
25,Food,Snacks,Small,White,Glass,Delta,Premium,2,true,16.49,Adults
26,Sports,Equipment,Medium,Green,Glass,Alpha,Budget,1,false,16.01,Children
